| THETA | 0.923 | GO    | 527.6  | 589.9    | 356.6   | 363.1    | -6.535| 446.2 | -0.638| -19.60| 0.000 | -16.34| 96.74  | 60.79 |
| THETA | 0.929 | GO    | 521.8  | 573.1    | 360.0   | 366.8    | -6.844| 439.4 | -0.309| -20.53| 0.000 | -7.925| 95.69  | 67.22 |
| THETA | 0.940 | GO    | 511.8  | 557.9    | 365.7   | 373.0    | -7.302| 432.1 | -0.457| -21.90| 0.000 | -11.71| 93.86  | 60.24 |
| THETA | 0.951 | GO    | 501.9  | 547.4    | 371.4   | 379.1    | -7.753| 424.3 | -0.451| -23.26| 0.000 | -11.56| 92.03  | 57.20 |
| THETA | 0.962 | GO    | 491.9  | 537.4    | 376.9   | 385.1    | -8.203| 416.1 | -0.449| -24.61| 0.000 | -11.50| 90.20  | 54.08 |
| THETA | 0.969 | GO    | 486.2  | 512.3    | 380.0   | 388.4    | -8.353| 407.8 | -0.149| -25.05| 0.000 | -3.830| 89.15  | 60.26 |
| THETA | 0.980 | GO    | 476.2  | 496.9    | 385.4   | 393.9    | -8.528| 399.3 | -0.175| -25.58| 0.000 | -4.481| 87.32  | 57.25 |
| THETA | 0.991 | GO    | 466.2  | 474.3    | 390.6   | 399.2    | -8.562| 390.7 | -0.034| -25.68| 0.000 | -0.876| 85.49  | 58.93 |
| THETA | 1.002 | GO    | 456.3  | 467.9    | 395.7   | 404.4    | -8.636| 382.1 | -0.073| -25.90| 0.000 | -1.892| 83.67  | 55.87 |
| THETA | 1.008 | GO    | 450.5  | 464.1    | 398.6   | 407.4    | -8.704| 373.4 | -0.068| -26.11| 0.000 | -1.754| 82.62  | 54.75 |
| THETA | 1.020 | GO    | 440.6  | 458.2    | 403.6   | 412.4    | -8.845| 364.5 | -0.140| -26.53| 0.000 | -3.600| 80.79  | 50.65 |
| THETA | 1.031 | GO    | 430.6  | 446.4    | 408.4   | 417.4    | -8.965| 355.5 | -0.120| -26.89| 0.000 | -3.079| 78.96  | 48.98 |
| THETA | 1.042 | GO    | 420.6  | 422.0    | 413.2   | 422.1    | -8.925| 346.6 | 0.040 | -26.77| 0.000 | 1.042 | 77.13  | 51.40 |
| THETA | 1.048 | GO    | 414.9  | 412.6    | 415.9   | 424.8    | -8.892| 337.7 | 0.032 | -26.67| 0.000 | 0.843 | 76.08  | 50.25 |
| THETA | 1.059 | GO    | 404.9  | 402.7    | 420.4   | 429.2    | -8.811| 328.9 | 0.080 | -26.43| 0.000 | 2.066 | 74.25  | 49.88 |
